,SVid,ContellationType,TDoA_[ms],Pseudoranges_[m]
915,7,3,594018075.408,178082138922952
916,4,1,81.07,24304229
917,5,1,78.355,23490310
918,7,1,69.475,20828000
919,8,1,74.005,22186061
920,9,1,72.371,21696392
921,11,1,81.812,24526649
922,13,1,82.852,24838550
923,23,1,78.695,23592289
924,27,1,80.131,24022567
925,28,1,72.425,21712522
926,30,1,70.724,21202415
927,2,6,94.06,28198454
928,3,6,83.413,25006482
929,5,6,79.446,23817358
930,9,6,82.633,24772702
931,12,6,87.42,26207890
932,24,6,73.849,22139417
933,25,6,81.203,24343981
934,31,6,92.077,27603946
935,6,3,594018066.106,178082136134465
936,18,3,594018077.227,178082139468200
937,9,3,594018077.326,178082139497887
938,16,3,594018066.266,178082136182239
939,15,3,594018071.948,178082137885613
940,5,3,594018071.482,178082137746108
941,17,3,594018074.864,178082138759897
942,7,3,594018075.406,178082138922300
943,4,1,81.072,24304905
944,5,1,78.355,23490340
945,7,1,69.475,20828014
946,8,1,74.005,22186171
947,9,1,72.373,21696887
948,11,1,81.811,24526212
949,13,1,82.85,24837871
950,23,1,78.698,23592940
951,27,1,80.132,24023021
952,28,1,72.424,21712043
953,30,1,70.723,21202136
954,2,6,94.058,28198015
955,3,6,83.412,25006189
956,5,6,79.447,23817610
957,9,6,82.635,24773263
958,12,6,87.419,26207484
959,24,6,73.85,22139646
960,25,6,81.202,24343780
961,31,6,92.078,27604394
962,6,3,594018066.106,178082136134462
963,18,3,594018077.224,178082139467557
964,9,3,594018077.324,178082139497377
965,16,3,594018066.266,178082136182192
966,15,3,594018071.949,178082137886078
967,5,3,594018071.485,178082137746854
968,17,3,594018074.863,178082138759677
969,7,3,594018075.403,178082138921643
970,4,1,81.075,24305567
971,5,1,78.355,23490383
972,7,1,69.475,20828004
973,8,1,74.006,22186290
974,9,1,72.375,21697404
975,11,1,81.809,24525765
976,13,1,82.848,24837198
977,23,1,78.7,23593591
978,27,1,80.134,24023468
979,28,1,72.422,21711611
980,30,1,70.722,21201854
981,2,6,94.057,28197577
982,3,6,83.411,25005889
983,5,6,79.448,23817821
984,9,6,82.637,24773824
985,12,6,87.417,26207078
986,24,6,73.851,22139873
987,25,6,81.201,24343575
988,31,6,92.08,27604847
989,6,3,594018066.106,178082136134461
990,18,3,594018077.222,178082139466883
991,9,3,594018077.322,178082139496887
992,16,3,594018066.266,178082136182273
993,15,3,594018071.951,178082137886552
994,5,3,594018071.487,178082137747573
995,17,3,594018074.862,178082138759436
996,7,3,594018075.401,178082138920988
997,4,1,81.077,24306239
998,5,1,78.356,23490419
999,7,1,69.475,20828017
1000,8,1,74.006,22186405
1001,9,1,72.376,21697915
1002,11,1,81.808,24525321
1003,13,1,82.846,24836523
1004,23,1,78.702,23594239
1005,27,1,80.135,24023927
1006,28,1,72.421,21711181
1007,30,1,70.721,21201581
1008,2,6,94.056,28197139
1009,3,6,83.41,25005589
1010,5,6,79.448,23818055
1011,9,6,82.638,24774383
1012,12,6,87.416,26206672
1013,24,6,73.851,22140097
1014,25,6,81.201,24343363
1015,31,6,92.081,27605286
1016,6,3,594018066.106,178082136134440
1017,18,3,594018077.22,178082139466215
1018,9,3,594018077.321,178082139496379
1019,16,3,594018066.266,178082136182220
1020,15,3,594018071.952,178082137887021
1021,5,3,594018071.49,178082137748381
1022,17,3,594018074.862,178082138759218
1023,7,3,594018075.399,178082138920338
1024,4,1,81.079,24306904
1025,5,1,78.356,23490462
1026,7,1,69.475,20828007
1027,8,1,74.006,22186523
1028,9,1,72.378,21698426
1029,11,1,81.806,24524903
1030,13,1,82.843,24835839
1031,23,1,78.704,23594891
1032,27,1,80.137,24024380
1033,28,1,72.419,21710755
1034,30,1,70.72,21201309
1035,2,6,94.054,28196701
1036,3,6,83.409,25005297
1037,5,6,79.449,23818292
1038,9,6,82.64,24774947
1039,12,6,87.415,26206266
1040,24,6,73.852,22140319
1041,25,6,81.2,24343158
1042,31,6,92.083,27605737
1043,6,3,594018066.106,178082136134439
1044,18,3,594018077.218,178082139465544
1045,9,3,594018077.319,178082139495894
1046,16,3,594018066.266,178082136182168
1047,15,3,594018071.954,178082137887494
1048,5,3,594018071.492,178082137749085
1049,17,3,594018074.861,178082138758985
1050,7,3,594018075.397,178082138919684
1051,4,1,81.081,24307579
1052,5,1,78.356,23490499
1053,7,1,69.475,20828003
1054,8,1,74.007,22186637
1055,9,1,72.38,21698939
1056,11,1,81.805,24524457
1057,13,1,82.841,24835164
1058,23,1,78.706,23595540
1059,27,1,80.138,24024831
1060,28,1,72.418,21710337
1061,30,1,70.719,21201059
1062,2,6,94.053,28196263
1063,3,6,83.408,25004998
1064,5,6,79.45,23818540
1065,9,6,82.642,24775515
1066,12,6,87.413,26205860
1067,24,6,73.853,22140552
1068,25,6,81.199,24342953
1069,31,6,92.084,27606193
1070,6,3,594018066.106,178082136134419
1071,18,3,594018077.216,178082139464891
1072,9,3,594018077.317,178082139495393
1073,16,3,594018066.266,178082136182175
1074,15,3,594018071.956,178082137887964
1075,5,3,594018071.495,178082137749827
1076,17,3,594018074.86,178082138758744
1077,7,3,594018075.395,178082138919036
1078,4,1,81.084,24308243
1079,5,1,78.356,23490537
1080,7,1,69.475,20828005
1081,8,1,74.007,22186754
1082,9,1,72.382,21699459
1083,11,1,81.803,24524011
1084,13,1,82.839,24834486
1085,23,1,78.708,23596184
1086,27,1,80.14,24025289
1087,28,1,72.416,21709869
1088,30,1,70.718,21200756
1089,2,6,94.051,28195825
1090,3,6,83.407,25004702
1091,5,6,79.451,23818771
1092,9,6,82.644,24776082
1093,12,6,87.412,26205454
1094,24,6,73.854,22140779
1095,25,6,81.199,24342750
1096,31,6,92.086,27606639
1097,6,3,594018066.106,178082136134444
1098,18,3,594018077.213,178082139464197
1099,9,3,594018077.316,178082139494896
1100,16,3,594018066.266,178082136182183
1101,15,3,594018071.957,178082137888443
1102,5,3,594018071.497,178082137750535
1103,17,3,594018074.859,178082138758526
1104,7,3,594018075.393,178082138918377
1105,4,1,81.086,24308924
1106,5,1,78.356,23490586
1107,7,1,69.475,20828007
1108,8,1,74.007,22186866
1109,9,1,72.383,21699956
1110,11,1,81.802,24523583
1111,13,1,82.837,24833803
1112,23,1,78.711,23596829
1113,27,1,80.141,24025745
1114,28,1,72.415,21709469
1115,30,1,70.717,21200484
1116,2,6,94.05,28195387
1117,3,6,83.406,25004401
1118,5,6,79.452,23819006
1119,9,6,82.646,24776643
1120,12,6,87.41,26204942
1121,24,6,73.854,22141005
1122,25,6,81.198,24342542
1123,31,6,92.087,27607093
1124,6,3,594018066.106,178082136134429
1125,18,3,594018077.211,178082139463537
1126,9,3,594018077.314,178082139494390
1127,16,3,594018066.266,178082136182175
1128,15,3,594018071.959,178082137888898
1129,5,3,594018071.5,178082137751312
1130,17,3,594018074.859,178082138758292
1131,7,3,594018075.39,178082138917716
1132,4,1,81.088,24309559
1133,5,1,78.356,23490623
1134,7,1,69.475,20828007
1135,8,1,74.008,22186985
1136,9,1,72.385,21700489
1137,11,1,81.8,24523128
1138,13,1,82.834,24833146
1139,23,1,78.713,23597489
1140,27,1,80.143,24026206
1141,28,1,72.414,21709039
1142,30,1,70.716,21200200
1143,2,6,94.048,28194949
1144,3,6,83.405,25004108
1145,5,6,79.452,23819214
1146,9,6,82.648,24777209
1147,12,6,87.409,26204526
1148,24,6,73.855,22141228
1149,25,6,81.197,24342337
1150,31,6,92.089,27607531
1151,6,3,594018066.107,178082136134582
1152,18,3,594018077.209,178082139463022
1153,9,3,594018077.313,178082139494043
1154,16,3,594018066.266,178082136182304
1155,15,3,594018071.961,178082137889545
1156,5,3,594018071.503,178082137752218
1157,17,3,594018074.858,178082138758209
1158,7,3,594018075.389,178082138917292
1159,4,1,81.091,24310404
1160,5,1,78.357,23490818
1161,7,1,69.475,20828170
1162,8,1,74.009,22187253
1163,9,1,72.387,21701159
1164,11,1,81.799,24522843
1165,13,1,82.833,24832625
1166,23,1,78.715,23598296
1167,27,1,80.145,24026801
1168,28,1,72.413,21708763
1169,30,1,70.716,21200070
1170,2,6,94.047,28194655
1171,3,6,83.404,25003962
1172,5,6,79.454,23819609
1173,9,6,82.65,24777926
1174,12,6,87.408,26204263
1175,24,6,73.857,22141663
1176,25,6,81.197,24342280
1177,31,6,92.091,27608138
1178,6,3,594018066.107,178082136134583
1179,18,3,594018077.207,178082139462349
1180,9,3,594018077.311,178082139493550
1181,16,3,594018066.266,178082136182297
1182,15,3,594018071.962,178082137889995
1183,5,3,594018071.505,178082137752935
1184,17,3,594018074.858,178082138757965
1185,7,3,594018075.387,178082138916621
1186,4,1,81.093,24311084
1187,5,1,78.357,23490857
1188,7,1,69.475,20828166
1189,8,1,74.009,22187391
1190,9,1,72.389,21701662
1191,11,1,81.798,24522419
1192,13,1,82.83,24831941
1193,23,1,78.718,23598953
1194,27,1,80.146,24027249
1195,28,1,72.411,21708338
1196,30,1,70.715,21199804
1197,2,6,94.046,28194214
1198,3,6,83.403,25003668
1199,5,6,79.454,23819821
1200,9,6,82.652,24778493
1201,12,6,87.407,26204050
1202,24,6,73.857,22141869
1203,25,6,81.196,24342080
1204,31,6,92.092,27608590
1205,6,3,594018066.107,178082136134570
1206,18,3,594018077.205,178082139461685
1207,9,3,594018077.31,178082139493060
1208,16,3,594018066.266,178082136182303
1209,15,3,594018071.964,178082137890491
1210,5,3,594018071.508,178082137753654
1211,17,3,594018074.857,178082138757747
1212,7,3,594018075.384,178082138915930
1213,4,1,81.095,24311761
1214,5,1,78.357,23490903
1215,7,1,69.475,20828208
1216,8,1,74.01,22187509
1217,9,1,72.391,21702183
1218,11,1,81.797,24522018
1219,13,1,82.828,24831293
1220,23,1,78.72,23599610
1221,27,1,80.148,24027706
1222,28,1,72.41,21707915
1223,30,1,70.714,21199536
1224,2,6,94.044,28193765
1225,3,6,83.402,25003382
1226,5,6,79.455,23820063
1227,9,6,82.654,24779063
1228,12,6,87.406,26203631
1229,24,6,73.858,22142123
1230,25,6,81.196,24341880
1231,31,6,92.094,27609043
1232,6,3,594018066.107,178082136134591
1233,18,3,594018077.203,178082139461006
1234,9,3,594018077.308,178082139492572
1235,16,3,594018066.266,178082136182338
1236,15,3,594018071.966,178082137890963
1237,5,3,594018071.51,178082137754440
1238,17,3,594018074.856,178082138757529
1239,7,3,594018075.382,178082138915302
1240,4,1,81.098,24312439
1241,5,1,78.357,23490955
1242,7,1,69.475,20828171
1243,8,1,74.01,22187622
1244,9,1,72.392,21702704
1245,11,1,81.795,24521575
1246,13,1,82.826,24830611
1247,23,1,78.722,23600268
1248,27,1,80.149,24028170
1249,28,1,72.408,21707500
1250,30,1,70.713,21199271
1251,2,6,94.043,28193334
1252,3,6,83.401,25003092
1253,5,6,79.456,23820321
1254,9,6,82.656,24779637
1255,12,6,87.405,26203213
1256,24,6,73.859,22142312
1257,25,6,81.195,24341687
1258,31,6,92.095,27609504
1259,6,3,594018066.106,178082136134461
1260,18,3,594018077.2,178082139460208
1261,9,3,594018077.306,178082139491935
1262,16,3,594018066.266,178082136182186
1263,15,3,594018071.967,178082137891292
1264,5,3,594018071.512,178082137755040
1265,17,3,594018074.855,178082138757173
1266,7,3,594018075.38,178082138914518
1267,4,1,81.099,24312972
1268,5,1,78.357,23490854
1269,7,1,69.475,20828070
1270,8,1,74.01,22187600
1271,9,1,72.394,21703072
1272,11,1,81.793,24520964
1273,13,1,82.823,24829777
1274,23,1,78.724,23600775
1275,27,1,80.15,24028474
1276,28,1,72.407,21706927
1277,30,1,70.712,21198852
1278,2,6,94.041,28192757
1279,3,6,83.4,25002651
1280,5,6,79.456,23820398
1281,9,6,82.657,24780056
1282,12,6,87.403,26202640
1283,24,6,73.859,22142376
1284,25,6,81.194,24341339
1285,31,6,92.096,27609803
1286,6,3,594018066.106,178082136134444
1287,18,3,594018077.198,178082139459549
1288,9,3,594018077.304,178082139491445
1289,16,3,594018066.265,178082136182095
1290,15,3,594018071.968,178082137891785
1291,5,3,594018071.515,178082137755780
1292,17,3,594018074.854,178082138756943
1293,7,3,594018075.378,178082138913862
1294,4,1,81.102,24313651
1295,5,1,78.357,23490908
1296,7,1,69.475,20828053
1297,8,1,74.01,22187731
1298,9,1,72.395,21703597
1299,11,1,81.792,24520564
1300,13,1,82.821,24829124
1301,23,1,78.726,23601440
1302,27,1,80.152,24028946
1303,28,1,72.405,21706513
1304,30,1,70.711,21198581
1305,2,6,94.039,28192319
1306,3,6,83.399,25002366
1307,5,6,79.457,23820637
1308,9,6,82.659,24780629
1309,12,6,87.401,26202222
1310,24,6,73.86,22142608
1311,25,6,81.193,24341147
1312,31,6,92.098,27610268
1313,6,3,594018066.106,178082136134472
1314,18,3,594018077.196,178082139458894
1315,9,3,594018077.303,178082139490964
1316,16,3,594018066.266,178082136182182
1317,15,3,594018071.97,178082137892264
1318,5,3,594018071.517,178082137756538
1319,17,3,594018074.853,178082138756724
1320,7,3,594018075.375,178082138913229
1321,4,1,81.104,24314327
1322,5,1,78.357,23490961
1323,7,1,69.475,20828051
1324,8,1,74.011,22187853
1325,9,1,72.397,21704121
1326,11,1,81.79,24520138
1327,13,1,82.819,24828462
1328,23,1,78.728,23602102
1329,27,1,80.153,24029405
1330,28,1,72.404,21706100
1331,30,1,70.71,21198324
1332,2,6,94.038,28191883
1333,3,6,83.398,25002088
1334,5,6,79.458,23820875
1335,9,6,82.661,24781208
1336,12,6,87.4,26201803
1337,24,6,73.861,22142927
1338,25,6,81.193,24340949
1339,31,6,92.099,27610722
1340,6,3,594018066.106,178082136134454
1341,18,3,594018077.193,178082139458244
1342,9,3,594018077.301,178082139490476
1343,16,3,594018066.266,178082136182165
1344,15,3,594018071.972,178082137892769
1345,5,3,594018071.52,178082137757293
1346,17,3,594018074.853,178082138756521
1347,7,3,594018075.373,178082138912593
1348,4,1,81.106,24315023
1349,5,1,78.358,23491015
1350,7,1,69.475,20828067
1351,8,1,74.011,22188002
1352,9,1,72.399,21704645
1353,11,1,81.789,24519713
1354,13,1,82.817,24827789
1355,23,1,78.73,23602764
1356,27,1,80.155,24029871
1357,28,1,72.402,21705682
1358,30,1,70.709,21198068
1359,2,6,94.037,28191462
1360,3,6,83.397,25001796
1361,5,6,79.459,23821125
1362,9,6,82.663,24781781
1363,12,6,87.398,26201385
1364,24,6,73.861,22143098
1365,25,6,81.192,24340754
1366,31,6,92.101,27611184
1367,6,3,594018066.107,178082136134503
1368,18,3,594018077.191,178082139457580
1369,9,3,594018077.299,178082139489992
1370,16,3,594018066.266,178082136182169
1371,15,3,594018071.973,178082137893241
1372,5,3,594018071.522,178082137758075
1373,17,3,594018074.852,178082138756280
1374,7,3,594018075.371,178082138911959
1375,4,1,81.108,24315698
1376,5,1,78.358,23491066
1377,7,1,69.475,20828109
1378,8,1,74.012,22188136
1379,9,1,72.401,21705179
1380,11,1,81.788,24519300
1381,13,1,82.814,24827136
1382,23,1,78.733,23603432
1383,27,1,80.157,24030340
1384,28,1,72.401,21705267
1385,30,1,70.708,21197796
1386,2,6,94.035,28191043
1387,3,6,83.396,25001511
1388,5,6,79.46,23821367
1389,9,6,82.665,24782359
1390,12,6,87.397,26200966
1391,24,6,73.862,22143327
1392,25,6,81.191,24340564
1393,31,6,92.103,27611648
1394,6,3,594018066.107,178082136134505
1395,18,3,594018077.189,178082139456928
1396,9,3,594018077.298,178082139489503
1397,16,3,594018066.266,178082136182174
1398,15,3,594018071.975,178082137893704
1399,5,3,594018071.525,178082137758793
1400,17,3,594018074.851,178082138756069
1401,7,3,594018075.369,178082138911346
1402,4,1,81.111,24316378
1403,5,1,78.358,23491117
1404,7,1,69.475,20828151
1405,8,1,74.012,22188257
1406,9,1,72.402,21705715
1407,11,1,81.786,24518877
1408,13,1,82.812,24826472
1409,23,1,78.735,23604090
1410,27,1,80.158,24030805
1411,28,1,72.4,21704854
1412,30,1,70.707,21197527
1413,2,6,94.034,28190623
1414,3,6,83.395,25001235
1415,5,6,79.46,23821606
1416,9,6,82.667,24782938
1417,12,6,87.396,26200548
1418,24,6,73.863,22143602
1419,25,6,81.191,24340371
1420,31,6,92.104,27612108
1421,6,3,594018066.107,178082136134524
1422,18,3,594018077.187,178082139456266
1423,9,3,594018077.296,178082139489017
1424,16,3,594018066.266,178082136182174
1425,15,3,594018071.976,178082137894176
1426,5,3,594018071.527,178082137759554
1427,17,3,594018074.85,178082138755852
1428,7,3,594018075.367,178082138910674
1429,4,1,81.113,24317063
1430,5,1,78.358,23491172
1431,7,1,69.475,20828129
1432,8,1,74.012,22188373
1433,9,1,72.404,21706229
1434,11,1,81.785,24518467
1435,13,1,82.81,24825803
1436,23,1,78.737,23604754
1437,27,1,80.16,24031282
1438,28,1,72.398,21704433
1439,30,1,70.706,21197265
1440,2,6,94.032,28190177
1441,3,6,83.394,25000946
1442,5,6,79.461,23821858
1443,9,6,82.669,24783514
1444,12,6,87.394,26200129
1445,24,6,73.864,22143839
1446,25,6,81.19,24340180
1447,31,6,92.106,27612563
1448,6,3,594018066.107,178082136134521
1449,18,3,594018077.185,178082139455603
1450,9,3,594018077.294,178082139488529
1451,16,3,594018066.266,178082136182170
1452,15,3,594018071.978,178082137894659
1453,5,3,594018071.53,178082137760297
1454,17,3,594018074.85,178082138755632
1455,7,3,594018075.365,178082138910081
1456,4,1,81.115,24317737
1457,5,1,78.358,23491226
1458,7,1,69.475,20828126
1459,8,1,74.013,22188505
1460,9,1,72.406,21706792
1461,11,1,81.783,24518000
1462,13,1,82.808,24825134
1463,23,1,78.739,23605416
1464,27,1,80.161,24031737
1465,28,1,72.397,21704016
1466,30,1,70.706,21196998
1467,2,6,94.031,28189749
1468,3,6,83.393,25000662
1469,5,6,79.462,23822102
1470,9,6,82.671,24784082
1471,12,6,87.393,26199711
1472,24,6,73.865,22144160
1473,25,6,81.189,24339984
1474,31,6,92.107,27613023
1475,6,3,594018066.107,178082136134541
1476,18,3,594018077.182,178082139454944
1477,9,3,594018077.293,178082139488051
1478,16,3,594018066.266,178082136182182
1479,15,3,594018071.979,178082137895154
1480,5,3,594018071.532,178082137761066
1481,17,3,594018074.849,178082138755406
1482,7,3,594018075.363,178082138909416
1483,4,1,81.118,24318438
1484,5,1,78.358,23491278
1485,7,1,69.475,20828189
1486,8,1,74.013,22188630
1487,9,1,72.408,21707309
1488,11,1,81.782,24517570
1489,13,1,82.806,24824474
1490,23,1,78.741,23606080
1491,27,1,80.163,24032198
1492,28,1,72.395,21703603
1493,30,1,70.705,21196733
1494,2,6,94.029,28189318
1495,3,6,83.392,25000378
1496,5,6,79.463,23822343
1497,9,6,82.673,24784662
1498,12,6,87.391,26199292
1499,24,6,73.866,22144398
1500,25,6,81.189,24339792
1501,31,6,92.109,27613481
1502,6,3,594018066.107,178082136134546
1503,18,3,594018077.18,178082139454276
1504,9,3,594018077.291,178082139487558
1505,16,3,594018066.266,178082136182182
1506,15,3,594018071.981,178082137895625
1507,5,3,594018071.535,178082137761811
1508,17,3,594018074.848,178082138755187
1509,7,3,594018075.361,178082138908754
1510,4,1,81.12,24319074
1511,5,1,78.359,23491331
1512,7,1,69.475,20828175
1513,8,1,74.014,22188760
1514,9,1,72.409,21707793
1515,11,1,81.78,24517151
1516,13,1,82.803,24823803
1517,23,1,78.744,23606737
1518,27,1,80.164,24032666
1519,28,1,72.394,21703186
1520,30,1,70.704,21196469
1521,2,6,94.028,28188889
1522,3,6,83.391,25000087
1523,5,6,79.464,23822582
1524,9,6,82.675,24785232
1525,12,6,87.39,26198873
1526,24,6,73.866,22144566
1527,25,6,81.188,24339595
1528,31,6,92.11,27613939
1529,6,3,594018066.107,178082136134555
1530,18,3,594018077.178,178082139453623
1531,9,3,594018077.29,178082139487068
1532,16,3,594018066.266,178082136182181
1533,15,3,594018071.983,178082137896113
1534,5,3,594018071.537,178082137762554
1535,17,3,594018074.848,178082138754967
1536,7,3,594018075.358,178082138908100
1537,4,1,81.122,24319797
1538,5,1,78.359,23491383
1539,7,1,69.475,20828189
1540,8,1,74.014,22188886
1541,9,1,72.411,21708313
1542,11,1,81.779,24516716
1543,13,1,82.801,24823130
1544,23,1,78.746,23607400
1545,27,1,80.166,24033125
1546,28,1,72.393,21702766
1547,30,1,70.703,21196202
1548,2,6,94.027,28188464
1549,3,6,83.39,24999803
1550,5,6,79.464,23822807
1551,9,6,82.677,24785805
1552,12,6,87.389,26198455
1553,24,6,73.867,22144763
1554,25,6,81.188,24339400
1555,31,6,92.112,27614397
1556,6,3,594018066.107,178082136134581
1557,18,3,594018077.176,178082139452953
1558,9,3,594018077.288,178082139486577
1559,16,3,594018066.266,178082136182162
1560,15,3,594018071.984,178082137896581
1561,5,3,594018071.54,178082137763320
1562,17,3,594018074.847,178082138754748
1563,7,3,594018075.356,178082138907486
1564,4,1,81.124,24320477
1565,5,1,78.359,23491432
1566,7,1,69.475,20828164
1567,8,1,74.015,22189008
1568,9,1,72.413,21708845
1569,11,1,81.778,24516293
1570,13,1,82.799,24822469
1571,23,1,78.748,23608054
1572,27,1,80.167,24033580
1573,28,1,72.391,21702352
1574,30,1,70.702,21195933
1575,2,6,94.025,28188035
1576,3,6,83.389,24999522
1577,5,6,79.465,23823061
1578,9,6,82.678,24786364
1579,12,6,87.387,26198036
1580,24,6,73.868,22145015
1581,25,6,81.187,24339204
1582,31,6,92.113,27614854
1583,6,3,594018066.107,178082136134571
1584,18,3,594018077.174,178082139452289
1585,9,3,594018077.286,178082139486091
1586,16,3,594018066.266,178082136182203
1587,15,3,594018071.986,178082137897058
1588,5,3,594018071.542,178082137764054
1589,17,3,594018074.846,178082138754528
1590,7,3,594018075.354,178082138906856
1591,4,1,81.126,24321105
1592,5,1,78.359,23491484
1593,7,1,69.475,20828171
1594,8,1,74.015,22189137
1595,9,1,72.415,21709364
1596,11,1,81.776,24515843
1597,13,1,82.797,24821804
1598,23,1,78.75,23608719
1599,27,1,80.169,24034040
1600,28,1,72.39,21701930
1601,30,1,70.701,21195666
1602,2,6,94.024,28187590
1603,3,6,83.388,24999229
1604,5,6,79.466,23823324
1605,9,6,82.68,24786949
1606,12,6,87.386,26197618
1607,24,6,73.869,22145251
1608,25,6,81.186,24339009
1609,31,6,92.115,27615310
1610,6,3,594018066.107,178082136134591
1611,18,3,594018077.171,178082139451624
1612,9,3,594018077.285,178082139485596
1613,16,3,594018066.266,178082136182174
1614,15,3,594018071.987,178082137897527
1615,5,3,594018071.545,178082137764803
1616,17,3,594018074.845,178082138754302
1617,7,3,594018075.352,178082138906202
1618,4,1,81.129,24321815
1619,5,1,78.359,23491531
1620,7,1,69.475,20828182
1621,8,1,74.015,22189262
1622,9,1,72.416,21709889
1623,11,1,81.775,24515406
1624,13,1,82.794,24821132
1625,23,1,78.752,23609371
1626,27,1,80.17,24034502
1627,28,1,72.388,21701515
1628,30,1,70.7,21195398
1629,2,6,94.022,28187159
1630,3,6,83.387,24998943
1631,5,6,79.467,23823582
1632,9,6,82.682,24787511
1633,12,6,87.384,26197199
1634,24,6,73.869,22145452
1635,25,6,81.186,24338809
1636,31,6,92.116,27615763
1637,6,3,594018066.107,178082136134577
1638,18,3,594018077.169,178082139450980
1639,9,3,594018077.283,178082139485115
1640,16,3,594018066.266,178082136182191
1641,15,3,594018071.989,178082137898032
1642,5,3,594018071.547,178082137765554
1643,17,3,594018074.845,178082138754083
1644,7,3,594018075.35,178082138905555
1645,4,1,81.131,24322457
1646,5,1,78.359,23491583
1647,7,1,69.475,20828195
1648,8,1,74.016,22189386
1649,9,1,72.418,21710406
1650,11,1,81.773,24514974
1651,13,1,82.792,24820466
1652,23,1,78.755,23610038
1653,27,1,80.172,24034967
1654,28,1,72.387,21701091
1655,30,1,70.699,21195130
1656,2,6,94.021,28186733
1657,3,6,83.387,24998656
1658,5,6,79.468,23823790
1659,9,6,82.684,24788080
1660,12,6,87.383,26196781
1661,24,6,73.87,22145682
1662,25,6,81.185,24338610
1663,31,6,92.118,27616218
1664,6,3,594018066.107,178082136134600
1665,18,3,594018077.167,178082139450304
1666,9,3,594018077.281,178082139484614
1667,16,3,594018066.266,178082136182178
1668,15,3,594018071.991,178082137898494
1669,5,3,594018071.55,178082137766290
1670,17,3,594018074.844,178082138753869
1671,7,3,594018075.348,178082138904879
1672,4,1,81.133,24323164
1673,5,1,78.36,23491628
1674,7,1,69.475,20828195
1675,8,1,74.016,22189500
1676,9,1,72.42,21710923
1677,11,1,81.772,24514543
1678,13,1,82.79,24819786
1679,23,1,78.757,23610685
1680,27,1,80.174,24035415
1681,28,1,72.386,21700668
1682,30,1,70.698,21194855
1683,2,6,94.019,28186299
1684,3,6,83.386,24998364
1685,5,6,79.468,23824028
1686,9,6,82.686,24788650
1687,12,6,87.382,26196362
1688,24,6,73.871,22145915
1689,25,6,81.184,24338406
1690,31,6,92.119,27616668
1691,6,3,594018066.107,178082136134582
1692,18,3,594018077.165,178082139449603
1693,9,3,594018077.28,178082139484119
1694,16,3,594018066.266,178082136182153
1695,15,3,594018071.992,178082137898947
1696,5,3,594018071.552,178082137767042
1697,17,3,594018074.843,178082138753624
1698,7,3,594018075.345,178082138904213
1699,4,1,81.136,24323877
1700,5,1,78.36,23491669
1701,7,1,69.475,20828210
1702,8,1,74.017,22189621
1703,9,1,72.422,21711441
1704,11,1,81.77,24514111
1705,13,1,82.788,24819117
1706,23,1,78.759,23611334
1707,27,1,80.175,24035880
1708,28,1,72.384,21700240
1709,30,1,70.697,21194576
1710,2,6,94.018,28185860
1711,3,6,83.385,24998060
1712,5,6,79.469,23824291
1713,9,6,82.688,24789222
1714,12,6,87.38,26195944
1715,24,6,73.872,22146198
1716,25,6,81.184,24338203
1717,31,6,92.121,27617111
1718,6,3,594018066.107,178082136134606
1719,18,3,594018077.162,178082139448957
1720,9,3,594018077.278,178082139483615
1721,16,3,594018066.266,178082136182154
1722,15,3,594018071.994,178082137899424
1723,5,3,594018071.555,178082137767779
1724,17,3,594018074.842,178082138753387
1725,7,3,594018075.343,178082138903645
1726,4,1,81.138,24324544
1727,5,1,78.36,23491709
1728,7,1,69.475,20828196
1729,8,1,74.017,22189735
1730,9,1,72.423,21711944
1731,11,1,81.769,24513679
1732,13,1,82.785,24818436
1733,23,1,78.761,23611987
1734,27,1,80.177,24036315
1735,28,1,72.383,21699807
1736,30,1,70.697,21194293
1737,2,6,94.016,28185421
1738,3,6,83.384,24997766
1739,5,6,79.47,23824484
1740,9,6,82.69,24789783
1741,12,6,87.379,26195525
1742,24,6,73.872,22146410
1743,25,6,81.183,24337993
1744,31,6,92.122,27617557
1745,6,3,594018066.107,178082136134591
1746,18,3,594018077.16,178082139448288
1747,9,3,594018077.276,178082139483115
1748,16,3,594018066.265,178082136182133
1749,15,3,594018071.995,178082137899886
1750,5,3,594018071.557,178082137768521
1751,17,3,594018074.842,178082138753168
1752,7,3,594018075.341,178082138902947
1753,4,1,81.14,24325223
1754,5,1,78.36,23491749
1755,7,1,69.476,20828251
1756,8,1,74.017,22189858
1757,9,1,72.425,21712508
1758,11,1,81.767,24513248
1759,13,1,82.783,24817750
1760,23,1,78.763,23612629
1761,27,1,80.178,24036776
1762,28,1,72.381,21699381
1763,30,1,70.696,21194022
1764,2,6,94.015,28184981
1765,3,6,83.383,24997467
1766,5,6,79.471,23824711
1767,9,6,82.692,24790339
1768,12,6,87.377,26195107
1769,24,6,73.873,22146632
1770,25,6,81.182,24337786
1771,31,6,92.124,27618000
1772,6,3,594018066.107,178082136134588
1773,18,3,594018077.158,178082139447617
1774,9,3,594018077.275,178082139482615
1775,16,3,594018066.265,178082136182137
1776,15,3,594018071.997,178082137900320
1777,5,3,594018071.56,178082137769256
1778,17,3,594018074.841,178082138752919
1779,7,3,594018075.339,178082138902254
1780,4,1,81.142,24325836
1781,5,1,78.36,23491784
1782,7,1,69.476,20828246
